category,reference_key,method_or_concept,relevance_to_project,gap_for_this_project,action_needed
RNA Folding Foundations,Nussinov Dynamic Programming,Classical RNA secondary-structure prediction using dynamic programming.,Supports the reference-pair proxy and classical RNA folding foundation.,"Does not connect RNA folding to QUBO, QAOA, VQE, or qubit compression.","Collect exact citation, DOI, and short summary."
RNA Folding Foundations,Zuker Minimum Free Energy,Thermodynamic RNA folding using minimum free energy.,Provides the classical RNA folding baseline direction.,Not designed as a unified quantum or QUBO benchmark framework.,Collect exact citation and compare against current stem-based QUBO.
RNA Folding Foundations,McCaskill Partition Function,Partition function and base-pair probability calculation.,Important for future probabilistic RNA validation.,Does not directly provide a QUBO-to-quantum benchmark pipeline.,Collect PDF/citation and summarize probability validation use.
RNA Folding Tools,ViennaRNA / RNAfold,Practical RNA secondary-structure prediction software.,Main external benchmark target for validating project outputs.,"Powerful classical tool, but not a QUBO/QAOA/VQE/compression benchmark package.",Collect official citation and use as future benchmark comparison.
QUBO Formulation,RNA Folding as QUBO,Convert RNA folding into binary optimization.,Directly needed to compare whether our stem-based QUBO is different.,"Need to identify whether prior work reports bioinformatics, quantum, compression, and hardware-readiness metrics together.",Collect at least 3 RNA-QUBO or RNA quantum annealing references.
Classical Optimization,Simulated Annealing,Classical probabilistic optimization baseline.,Supports the classical benchmark layer.,Classical optimization alone does not evaluate quantum feasibility or qubit compression.,Collect simulated annealing and RNA/QUBO benchmark references.
Quantum Optimization,QAOA,Parameterized quantum algorithm for combinatorial optimization.,"Supports QAOA readiness, circuit prototype, and parameter sweep layers.",Need to test when QAOA is practical for RNA-QUBO instances.,Collect QAOA references and summarize QUBO-to-circuit mapping.
Quantum Optimization,VQE,Hybrid quantum-classical variational optimization.,"Supports VQE readiness, circuit prototype, and parameter sweep layers.",Need to clarify whether VQE is useful for this RNA-QUBO problem class.,Collect VQE references and compare with QAOA feasibility.
Qubit Compression,QRAC,Encode multiple classical bits into fewer qubits probabilistically.,Supports the qubit-compression research extension.,Need to validate whether compressed variables preserve RNA-QUBO solution quality.,Collect QRAC references and identify valid assumptions.
Qubit Compression,QRAO,Optimization using QRAC-style compressed variable encoding.,Directly supports the QRAO subset mapping layer.,Need to test if QRAO-style mapping helps RNA-QUBO while preserving useful bitstrings.,Collect QRAO references and compare direct vs compressed encoding.
Hardware Readiness,NISQ Limitations,"Current hardware limits: qubits, circuit depth, noise, connectivity, and gate errors.",Supports the hardware-readiness section and no-quantum-advantage limitation.,Need to define when RNA-QUBO instances are small enough for realistic hardware testing.,Collect NISQ and IBM/Qiskit hardware-readiness references.
